customer_id,email,phone,age,registration_date,purchase_amount,status
50,,+79248523535,29,2024-09-04,46427,Premium
51,user51@yandex.ru,+79042734307,34,2023-09-19,31471,VIP
33,@gmail.com,+79348590788,19,2023-07-07,29548,VIP
53,user53@yandex.ru,+79544339722,42,2023-07-10,20384,Premium
54,,,34,2023-12-07,23574,VIP
55,user55@yandex.ru,+79880662984,62,2024-06-23,45543,Premium
56,@gmail.com,+79971567541,29,2025-01-19,24285,Regular
57,,+79876515905,56,2023-08-10,42289,Premium
58,user58@yandex.ru,+79203780344,41,2024-03-19,43088,VIP
59,user59@gmail.com,+79284481363,51,2024-06-19,36586,Regular
60,user60@,+79364067663,33,2024-09-17,41240,Regular
61,user61@gmail.com,+79961424434,-5,2023-10-31,13716,Regular
62,user62@yandex.ru,+79014677069,44,2026-05-19,43221,Regular
63,user63@yandex.ru,,25,2025-01-02,302,Regular
64,user64@gmail.com,+79912829655,43,2026-07-21,5122,Premium
65,user65@yandex.ru,+79447306533,32,2023-12-21,25289,Regular
66,user66@yandex.ru,,37,2024-08-14,26734,Regular
67,user67@gmail.com,+79553074217,23,2024-10-27,10167,Premium
68,user68@yandex.ru,,21,2024-06-23,13918,Regular
69,user69_invalid,,41,2024-10-25,28746,Regular
70,user70@yandex.ru,+79770414008,28,2024-07-04,6469,Regular
71,user71@gmail.com,+79493220398,31,2023-06-30,32254,VIP
72,@gmail.com,+79208748804,150,2023-12-10,1342,Regular
73,user73@gmail.com,+79695101430,48,2024-10-29,42929,Premium
74,user74@yandex.ru,+79757844480,39,2026-08-27,41832,VIP
75,user75@yandex.ru,+79709516666,21,2025-08-01,43303,Regular
76,user76@gmail.com,+79810652222,42,2024-04-27,36455,Regular
77,user77@yandex.ru,+79832010793,32,2024-11-27,9446,Premium
78,user78@yandex.ru,+79614730016,150,2024-04-13,43872,Premium
79,,+79446495667,46,2025-04-08,35659,VIP
80,user80@gmail.com,+79007726890,37,2023-05-24,44165,Regular
81,user81@yandex.ru,+79025291709,50,2026-07-25,39915,VIP
82,user82@yandex.ru,+79458337657,999,2024-11-20,47882,Regular
83,user83@yandex.ru,,18,2024-02-23,2708,Regular
84,user84@yandex.ru,+79445480601,42,2023-06-29,8666,Regular
85,user85@yandex.ru,+79757576343,23,2026-02-20,28734,Regular
86,,+79968692560,37,2024-05-24,20806,VIP
87,user87@yandex.ru,+79426863933,46,2024-05-23,28071,Regular
88,user88@yandex.ru,+79819319771,47,2023-06-04,12342,Premium
89,user89@gmail.com,+79217968608,150,2025-09-04,-6054,Regular
90,user90@yandex.ru,,20,2024-01-17,7970,Regular
91,user91@gmail.com,+79834983411,38,2023-06-12,6150,Regular
92,user92@yandex.ru,,35,2023-06-20,19978,Regular
93,user93@yandex.ru,+79408847140,47,2025-07-21,43861,VIP
94,user94@gmail.com,+79752536272,34,2024-03-09,34072,Regular
95,user95@yandex.ru,,51,2025-06-29,26665,VIP
96,user96@gmail.com,+79886572630,39,2023-06-10,29402,Premium
97,user97@yandex.ru,+79724863897,63,2026-07-19,19250,Premium
98,user98@yandex.ru,+79453860863,56,2024-11-06,23150,Premium
99,user99@yandex.ru,+79695844306,60,2024-04-23,481,Regular
100,user100@yandex.ru,+79699192960,60,2025-08-18,45186,Premium
101,user101@yandex.ru,+79476629266,34,2023-06-12,20491,Premium
102,user102@gmail.com,+79962516452,23,2024-06-03,11918,Premium
103,user103@yandex.ru,+79752685766,43,2025-01-05,37198,VIP
104,user104@yandex.ru,+79194741724,47,2022-12-22,614,Regular
105,user105@yandex.ru,,-5,2022-12-31,12651,Premium
13,user106@gmail.com,+79540699345,62,2023-04-02,545,Regular
107,user107@gmail.com,+79040739629,46,2026-05-06,19895,Regular
108,user108@yandex.ru,+79997599808,20,2024-09-01,32913,Premium
109,user109@gmail.com,,41,2025-03-09,45028,Regular
110,user110@gmail.com,+79660239421,42,2023-08-02,48988,Regular
111,user111@yandex.ru,,58,2024-12-27,15876,Premium
112,user112@gmail.com,+79107509488,59,2023-05-16,47319,Regular
113,user113@yandex.ru,+79399173960,54,2024-01-04,43642,VIP
114,user114@gmail.com,+79666759207,28,2023-01-02,4133,Regular
115,user115@yandex.ru,,30,2023-01-13,9516,Regular
116,user116@gmail.com,+79188028967,62,2025-02-08,19623,Regular
117,user117@gmail.com,+79848133464,53,2024-07-17,48874,VIP
118,@gmail.com,,47,2025-06-22,48845,VIP
119,,+79992937072,57,2023-10-13,-1107,Regular
120,user120@gmail.com,+79394587966,32,2022-12-28,7059,Regular
121,user121@yandex.ru,+79895809936,18,2025-05-15,-2453,Regular
122,user122@yandex.ru,+79405427123,24,2025-08-10,47182,Regular
123,@gmail.com,+79834527747,30,2024-12-15,10396,Premium
124,,+79099898906,61,2025-10-03,28602,Premium
125,user125@yandex.ru,+79963888037,52,2026-06-20,26385,Regular
126,user126@yandex.ru,+79391548508,32,2024-02-28,17343,Regular
127,user127@gmail.com,+79994380952,999,2025-01-19,8712,Regular
128,user128@gmail.com,+79387680641,28,2023-09-22,-8565,Regular
129,user129@gmail.com,+79674240522,50,2024-07-14,-313,Regular
130,,+79612013727,150,2023-11-22,9127,Regular
131,user131@,,50,2023-11-16,43201,Premium
132,user132@gmail.com,+79719332214,57,2023-01-23,18440,Regular
133,user133@yandex.ru,+79847613767,37,2025-01-04,33226,Premium
134,user134@gmail.com,+79994669417,35,2025-06-17,1560,Regular
135,user135@gmail.com,+79782190471,49,2024-01-27,-761,Regular
136,user136@yandex.ru,,46,2025-02-17,30027,VIP
137,user137@gmail.com,+79412037635,37,2024-02-28,4703,Regular
138,@gmail.com,+79530098753,53,2023-02-17,45241,Premium
139,user139@yandex.ru,+79565078882,53,2024-01-22,525,Regular
140,user140@gmail.com,+79418301429,64,2025-01-24,41089,Regular
141,user141@gmail.com,+79673178852,-5,2023-02-03,36142,Regular
142,@gmail.com,+79727526219,18,2023-07-29,23040,VIP
143,user143@yandex.ru,+79703535076,61,2024-09-10,619,Regular
144,@gmail.com,,43,2026-01-09,10724,Premium
145,user145_invalid,,41,2025-05-09,23857,VIP
146,user146@gmail.com,+79716676523,40,2026-07-10,1969,Regular
147,user147@gmail.com,,49,2024-05-05,48320,Regular
148,user148@yandex.ru,+79347364889,57,2022-12-30,30659,VIP
149,user149@gmail.com,+79331508072,45,2023-10-09,-5804,Regular
150,user150@gmail.com,,28,2024-08-27,1667,Regular
151,user151@gmail.com,+79797074258,18,2023-06-13,3726,Regular
152,user152@gmail.com,+79208304732,49,2023-02-15,-7110,Regular
153,user153@gmail.com,+79181950548,19,2023-12-23,4760,Regular
154,user154@gmail.com,+79463448846,40,2024-05-02,39338,VIP
155,user155@gmail.com,,53,2023-07-22,49292,Premium
156,user156@gmail.com,+79730556909,64,2023-12-04,42641,Premium
157,user157@yandex.ru,,27,2025-04-06,18743,Premium
158,user158@gmail.com,+79240486150,61,2026-09-09,22668,Regular
159,user159@gmail.com,+79629667598,59,2023-09-23,34084,Premium
160,user160@gmail.com,+79071537554,50,2024-02-09,49634,Premium
161,user161@yandex.ru,+79988899746,49,2023-01-17,39420,VIP
162,user162@yandex.ru,+79662794050,56,2024-06-10,29371,Premium
163,user163@gmail.com,+79341103597,54,2023-03-28,10106,Regular
164,user164@,+79728437691,44,2023-07-29,8258,Regular
165,user165@yandex.ru,,55,2024-09-23,32007,Premium
166,user166@yandex.ru,+79863003640,59,2023-12-19,3083,Regular
167,user167@gmail.com,+79514661654,57,2026-09-07,18752,Premium
168,@gmail.com,+79492573471,33,2024-04-30,16163,Premium
169,user169@yandex.ru,+79231078856,20,2024-08-01,37174,Premium
170,user170@gmail.com,+79895545833,59,2024-07-10,45033,Premium
171,,+79311505294,19,2023-02-24,38675,Premium
172,user172@yandex.ru,+79741986467,18,2023-06-13,48563,Regular
173,user173@gmail.com,,21,2024-02-10,-7279,Regular
174,user174@yandex.ru,+79813946513,23,2025-10-25,37947,Regular
175,user175_invalid,,28,2023-02-28,25032,Regular
176,user176@,+79066088429,33,2024-01-12,34406,VIP
177,user177@yandex.ru,+79420975013,54,2024-02-16,14818,Premium
178,user178@yandex.ru,+79918359684,150,2024-08-03,-7858,Regular
179,user179@yandex.ru,+79315681804,150,2023-10-20,671,Regular
180,,+79405260595,43,2024-03-15,28411,Premium
181,user181@yandex.ru,+79150394900,58,2025-05-15,39040,Premium
182,user182@gmail.com,,38,2023-08-15,28602,Premium
183,user183@yandex.ru,+79644970962,61,2025-06-03,-3371,Regular
184,user184@yandex.ru,,-5,2025-01-23,49517,Regular
185,user185@gmail.com,+79696347065,150,2024-04-10,42533,Regular
186,user186@yandex.ru,+79535425944,32,2024-02-29,6979,Regular
187,user187@yandex.ru,+79310163209,29,2023-08-04,42676,Regular
188,user188@yandex.ru,,35,2023-11-17,49145,VIP
189,user189@gmail.com,+79588087981,-5,2024-03-17,49190,VIP
190,user190@gmail.com,+79980958845,57,2023-11-19,28927,Premium
191,user191@gmail.com,+79463614721,32,2024-02-28,36850,Regular
192,user192@gmail.com,+79035908279,36,2025-08-13,9496,Regular
193,user193@gmail.com,+79972645636,21,2025-01-31,44522,VIP
194,user194@gmail.com,,30,2023-02-23,-2749,Regular
195,user195@yandex.ru,+79037264820,28,2023-09-08,12087,Premium
38,user196@yandex.ru,+79584956439,43,2024-05-31,-5066,Regular
197,user197@yandex.ru,+79654240016,21,2024-04-15,-4531,Regular
198,user198@yandex.ru,+79426786461,48,2026-07-14,12693,Regular
199,user199@gmail.com,+79074170047,62,2025-03-13,10720,Regular
200,,+79786465787,50,2024-12-26,18394,Premium
201,user201@yandex.ru,+79376966543,27,2023-01-13,42845,Premium
202,user202@gmail.com,+79241102738,63,2024-02-09,22436,VIP
203,user203@gmail.com,+79214069885,52,2024-11-03,-785,Regular
204,,+79887403043,150,2025-02-04,34742,Premium
205,user205@gmail.com,+79114720972,26,2023-10-17,-8117,Regular
206,,+79093878234,32,2026-05-18,11918,Regular
207,,+79534403213,38,2025-05-04,31703,VIP
208,user208@gmail.com,+79490037672,-5,2024-05-10,33365,Regular
209,user209@yandex.ru,+79182732842,150,2024-01-11,12485,Regular
210,user210@gmail.com,+79725945409,999,2025-06-18,24487,Premium
79,user211@yandex.ru,+79864850879,38,2024-08-25,13171,Regular
212,user212@gmail.com,+79864316392,45,2024-06-22,22263,Premium
213,user213@yandex.ru,+79523696806,42,2024-07-12,29450,Premium
214,user214@gmail.com,+79267787335,64,2025-01-17,47657,Premium
215,user215@gmail.com,+79115553905,55,2025-05-06,-712,Regular
216,user216@yandex.ru,+79935254381,-5,2023-06-21,25150,VIP
217,user217@gmail.com,,48,2023-12-12,-9852,Regular
218,,+79341048701,52,2024-05-23,44517,Premium
219,user219@gmail.com,+79651408747,38,2023-01-04,12763,Regular
220,user220@gmail.com,,51,2023-02-12,33866,VIP
221,user221@gmail.com,+79402598749,52,2026-06-11,37346,Regular
222,user222@yandex.ru,+79125739862,999,2023-03-06,47246,Regular
223,user223@yandex.ru,+79659740643,56,2023-08-10,10449,Premium
224,user224@gmail.com,,55,2024-04-29,46738,Premium
225,user225@yandex.ru,+79116715789,40,2025-06-21,19330,Regular
226,user226@gmail.com,+79254196808,36,2024-08-10,34228,VIP
227,user227@yandex.ru,+79145292083,28,2023-01-31,32808,Regular
228,user228@gmail.com,+79611184552,33,2023-04-15,778,Regular
229,user229@gmail.com,,20,2025-02-23,46403,Regular
230,user230@gmail.com,+79774929838,150,2024-03-02,45714,Premium
231,user231@gmail.com,+79166654456,21,2024-09-29,21909,VIP
232,user232@yandex.ru,+79026912512,55,2023-11-17,-6816,Regular
233,user233_invalid,+79951475648,62,2024-07-15,17839,Premium
234,user234@gmail.com,+79212587376,60,2023-05-01,16724,Premium
235,user235@yandex.ru,+79631424776,58,2023-07-16,49062,Regular
236,user236@gmail.com,+79564741452,62,2024-01-01,45639,VIP
237,user237@yandex.ru,+79880728166,22,2026-08-25,-3841,Regular
238,,+79491720641,50,2024-01-27,34542,VIP
239,user239@,+79724014014,27,2023-05-23,9101,Regular
12,,,19,2024-08-21,6439,Regular
241,user241@yandex.ru,+79187857881,48,2024-07-31,34587,VIP
242,user242@gmail.com,+79241864628,47,2023-04-30,18626,Regular
243,user243@yandex.ru,+79052869791,53,2023-03-07,22967,VIP
244,user244@,+79663399571,27,2022-12-29,-1929,Regular
245,user245@gmail.com,+79256359909,21,2024-07-05,42359,Regular
246,@gmail.com,,999,2023-06-17,2169,Regular
247,user247@yandex.ru,+79442136259,26,2025-06-27,14973,Regular
248,user248@gmail.com,+79978730472,51,2023-06-14,46633,Premium
249,user249@yandex.ru,+79086963179,28,2024-05-01,30654,VIP
250,user250@yandex.ru,+79559697659,39,2023-08-12,48980,VIP
251,user251@yandex.ru,+79684852340,62,2025-01-09,26086,VIP
252,user252@gmail.com,+79639073808,43,2023-08-26,12869,Premium
253,user253@gmail.com,+79821299606,28,2024-05-01,30386,VIP
254,user254@gmail.com,+79315804419,52,2024-10-18,-7184,Regular
255,user255@gmail.com,,22,2024-05-06,24566,Premium
256,user256@gmail.com,+79577394473,38,2025-03-02,15906,Regular
257,user257@gmail.com,+79337023088,150,2025-11-16,9764,Premium
258,,+79254189768,53,2023-10-10,11528,Regular
259,user259@yandex.ru,,20,2023-01-13,21793,VIP
260,user260@yandex.ru,,59,2024-09-19,-1597,Regular
261,user261@yandex.ru,+79229706631,44,2026-05-01,2368,Regular
262,user262@yandex.ru,+79713486098,39,2025-03-13,38333,Premium
263,user263@yandex.ru,+79915569841,41,2025-08-13,33996,Regular
264,user264@yandex.ru,+79574788433,28,2024-02-29,23545,VIP
265,user265@gmail.com,,58,2023-02-15,5276,Regular
266,user266@yandex.ru,+79272077227,35,2025-04-24,41157,Regular
267,user267@yandex.ru,+79569993178,27,2023-09-18,15372,Premium
268,user268@gmail.com,+79206382685,37,2023-11-30,45968,VIP
269,user269@gmail.com,+79476644847,31,2023-04-23,-4172,Regular
270,user270@yandex.ru,+79520385160,28,2023-01-04,10860,Premium
271,user271@yandex.ru,+79281867291,61,2024-05-12,8547,Premium
272,user272@yandex.ru,,61,2024-02-04,-3848,Regular
273,user273@gmail.com,+79134955682,64,2023-07-25,24087,VIP
274,user274@gmail.com,+79265703251,33,2025-05-31,3866,Regular
275,user275@,,49,2023-11-17,4025,Regular
276,user276@gmail.com,+79700111220,24,2024-11-09,-4526,Regular
277,user277@yandex.ru,+79654242874,20,2025-04-08,31131,VIP
278,user278@yandex.ru,+79827744648,49,2024-10-16,49429,VIP
279,user279@gmail.com,+79417446936,62,2024-06-08,13379,Premium
280,user280@gmail.com,+79375123045,64,2023-10-27,-7863,Regular
281,user281@yandex.ru,+79127387546,49,2024-12-09,44605,Premium
282,user282@yandex.ru,+79261453826,46,2024-05-07,-7988,Regular
283,user283@gmail.com,+79904635973,21,2024-03-01,7866,Regular
284,user284@yandex.ru,+79756324310,150,2026-05-30,25372,Regular
285,user285@yandex.ru,+79932234145,30,2024-05-22,45550,Premium
286,user286@yandex.ru,+79092886869,61,2025-11-25,8155,Regular
287,user287@yandex.ru,+79764023655,25,2023-07-15,43896,VIP
288,user288@yandex.ru,+79634953463,51,2023-11-10,20208,Regular
289,user289@gmail.com,+79331239002,34,2025-05-19,17076,Premium
290,user290@gmail.com,+79963671443,27,2025-08-02,-2013,Regular
291,,+79779023939,28,2023-11-21,10521,Premium
292,user292@gmail.com,+79612282919,31,2023-04-22,47857,VIP
293,user293@yandex.ru,+79889383835,44,2024-12-15,46976,Regular
294,user294@yandex.ru,+79102676444,59,2024-11-26,6614,Premium
212,user295@yandex.ru,,23,2023-12-02,46694,Premium
296,user296@yandex.ru,+79931344347,53,2023-01-21,35517,VIP
297,user297@yandex.ru,+79652578170,53,2024-04-26,24885,VIP
298,user298@yandex.ru,+79088782879,26,2024-05-20,-2932,Regular
299,user299@gmail.com,+79440302693,42,2025-06-23,29783,Premium
300,user300@yandex.ru,+79835781014,34,2026-02-28,21644,Premium
301,user301@gmail.com,+79975201355,62,2025-07-09,9689,Premium
302,user302@gmail.com,,52,2026-07-23,4769,Regular
303,user303@gmail.com,+79199416696,57,2025-03-03,44367,Premium
304,user304@gmail.com,+79973786703,27,2025-06-09,27798,Premium
305,user305@gmail.com,+79536330167,33,2025-03-17,-4659,Regular
306,user306@yandex.ru,+79822175620,34,2024-04-13,6989,Premium
307,user307@yandex.ru,+79796475410,19,2023-11-03,46220,Premium
308,user308_invalid,+79434232796,46,2023-06-04,29240,Premium
309,user309@yandex.ru,+79983365019,22,2024-06-01,22192,Regular
310,user310@yandex.ru,+79160896635,55,2023-02-16,28890,VIP
311,user311@,,37,2023-06-01,19233,Regular
312,user312@gmail.com,+79472478255,53,2024-12-28,9280,Premium
68,user313@gmail.com,+79571204143,150,2024-07-25,41243,VIP
314,user314@gmail.com,+79946970249,62,2023-02-27,8367,Regular
315,@gmail.com,,42,2024-12-15,2426,Regular
316,,+79591366520,37,2025-08-04,1134,Regular
317,user317@,+79089362500,150,2025-07-13,17568,Premium
318,user318@yandex.ru,+79572451454,30,2024-08-21,31552,Regular
319,user319@yandex.ru,+79733437000,60,2024-09-08,19296,Regular
320,user320_invalid,+79559407548,55,2024-07-19,38506,VIP
321,user321@gmail.com,+79424537785,150,2024-02-17,26711,Regular
322,user322@yandex.ru,+79747439717,46,2023-09-29,49393,Regular
323,user323@yandex.ru,+79034206848,44,2024-03-26,32828,Regular
324,user324@gmail.com,+79254796342,53,2025-03-19,19238,Regular
325,user325@,,56,2023-12-22,32854,VIP
326,user326@yandex.ru,,64,2023-11-29,32115,Regular
327,user327@gmail.com,+79136962532,35,2023-08-16,41680,Premium
328,user328@yandex.ru,+79452455419,51,2024-03-21,35062,Regular
329,user329@yandex.ru,+79499506759,26,2023-01-28,35010,Premium
330,user330@yandex.ru,+79200511628,51,2026-05-09,5552,Premium
331,user331@yandex.ru,+79885846086,43,2025-09-05,46182,VIP
332,user332@gmail.com,+79679116162,60,2024-08-28,36661,VIP
333,user333@gmail.com,+79547120491,58,2024-07-26,37825,VIP
334,user334@yandex.ru,+79229942503,150,2024-03-27,27374,VIP
335,user335@gmail.com,+79861048913,62,2024-03-29,33402,Premium
235,user336@yandex.ru,+79295123002,21,2023-04-12,-6339,Regular
337,user337@gmail.com,+79566887070,32,2026-01-26,34660,VIP
338,user338@gmail.com,,61,2024-02-07,35710,Premium
339,user339@gmail.com,+79661995071,59,2024-05-30,19275,Regular
340,user340@yandex.ru,+79796170040,19,2023-09-27,45450,Regular
341,user341@yandex.ru,+79862327574,49,2025-07-12,37102,Regular
342,user342@yandex.ru,+79820023451,63,2023-04-28,48564,Regular
343,user343@gmail.com,+79101629945,29,2024-08-16,-6818,Regular
344,user344@gmail.com,+79558517051,150,2025-02-07,46778,Regular
345,user345@gmail.com,+79269352928,55,2024-12-10,33724,Regular
346,user346@yandex.ru,+79305639774,-5,2023-07-02,-3064,Regular
347,user347@yandex.ru,+79996510498,999,2025-05-21,48483,Regular
348,user348@gmail.com,+79491487060,36,2024-02-17,8210,Premium
349,user349@,+79415975634,28,2023-10-18,3262,Regular
350,user350@gmail.com,+79233706608,55,2023-09-28,30908,Premium
351,user351@yandex.ru,+79565404587,58,2023-05-09,18889,Regular
112,user352@gmail.com,,39,2023-09-22,21133,Premium
353,user353_invalid,+79378622731,37,2023-12-09,5213,Premium
354,user354@yandex.ru,+79357301785,61,2025-04-15,45351,Premium
355,user355@gmail.com,+79683094845,33,2025-01-16,40150,Regular
356,user356@yandex.ru,+79442551518,25,2023-04-11,-6519,Regular
357,user357@yandex.ru,+79609426217,36,2025-06-06,-2511,Regular
358,user358@yandex.ru,+79321354655,54,2023-06-30,14119,Regular
359,user359@gmail.com,+79212099975,27,2025-07-25,17420,Regular
360,user360@gmail.com,+79328478885,40,2025-08-12,34779,Premium
361,@gmail.com,+79618813677,61,2024-06-23,19520,Premium
362,user362@gmail.com,+79488808673,30,2024-03-31,45991,VIP
363,user363@gmail.com,+79065113119,37,2025-12-03,14536,Premium
364,user364@gmail.com,,33,2023-10-05,47327,Premium
365,user365@gmail.com,+79340653048,31,2025-05-03,46151,VIP
366,user366@yandex.ru,+79709967924,45,2023-08-16,8597,Regular
367,user367@gmail.com,,52,2023-08-06,29872,Regular
368,user368@yandex.ru,+79947058600,38,2024-05-13,15916,Premium
369,,+79653043637,18,2024-12-13,38215,Premium
370,user370@gmail.com,+79153814126,56,2026-02-15,17270,Regular
371,user371@gmail.com,+79540328433,47,2025-03-25,-1747,Regular
372,user372@gmail.com,+79042322633,40,2023-03-01,31027,VIP
373,user373@yandex.ru,+79369397535,-5,2023-02-02,18074,Regular
374,user374@yandex.ru,,48,2024-07-23,9940,Premium
375,user375@yandex.ru,+79330105023,25,2025-01-28,23383,VIP
376,user376@yandex.ru,+79417867770,36,2025-08-15,11382,Premium
377,user377@yandex.ru,+79916375609,49,2025-01-27,6226,Regular
378,user378_invalid,+79382207913,57,2024-06-09,48847,Premium
379,user379@,+79902512823,41,2023-08-25,31521,Regular
380,user380@gmail.com,+79016613311,36,2025-09-07,19738,Regular
381,user381@gmail.com,+79932525742,48,2025-04-25,20566,Regular
382,user382@gmail.com,+79445804692,39,2024-05-19,38652,Regular
383,user383@,,22,2023-04-21,41430,Regular
384,user384@gmail.com,+79637315010,27,2023-10-01,4668,Regular
385,,+79509851703,150,2024-02-05,30209,VIP
386,user386@gmail.com,+79528748454,25,2024-06-24,41691,Premium
387,@gmail.com,+79418840046,48,2024-02-02,21031,VIP
388,user388@gmail.com,+79315904404,39,2025-02-16,20142,VIP
389,user389@yandex.ru,+79996999757,52,2025-01-16,45710,Premium
390,user390@yandex.ru,+79071967803,39,2024-08-01,22553,Regular
391,user391@yandex.ru,+79949835921,31,2023-03-24,43894,Regular
392,user392@gmail.com,,53,2025-05-13,18279,Regular
393,user393@yandex.ru,,30,2025-05-07,39791,Regular
394,user394@yandex.ru,+79180024509,43,2025-01-18,45826,Premium
395,user395@yandex.ru,+79371508161,61,2025-05-10,19229,Regular
396,,+79994269755,62,2024-09-27,1657,Regular
397,,+79005021983,32,2024-01-13,9417,Regular
398,user398@gmail.com,+79914166570,21,2023-05-17,49028,Premium
399,user399@yandex.ru,+79512576246,59,2026-07-25,44301,VIP
400,user400@yandex.ru,,22,2024-12-30,35739,Premium
401,user401@gmail.com,+79361325560,47,2023-02-18,-8407,Regular
402,user402_invalid,,62,2023-09-22,5695,Regular
403,user403@yandex.ru,,35,2025-03-09,47365,VIP
404,user404@yandex.ru,+79634299724,19,2023-03-04,32766,Regular
405,user405@yandex.ru,,60,2025-01-02,18211,Premium
406,,+79375613276,54,2024-08-08,1094,Regular
407,user407@yandex.ru,+79620933347,36,2025-08-22,23862,VIP
408,user408@yandex.ru,+79771793679,53,2023-07-18,41789,Premium
409,user409@gmail.com,+79987815654,55,2025-01-16,41107,VIP
410,,,54,2023-05-30,30497,VIP
411,user411@gmail.com,+79188197341,52,2025-03-07,26206,VIP
412,user412@yandex.ru,+79710238167,33,2024-07-16,3178,Regular
413,,+79069580185,29,2026-04-25,7135,Premium
414,user414@gmail.com,+79049987331,43,2023-06-17,39404,Regular
415,user415@gmail.com,+79783970959,150,2023-11-04,4873,Regular
416,user416@gmail.com,+79939369001,33,2025-03-11,29978,VIP
417,user417@gmail.com,+79542825544,26,2024-04-25,21267,Regular
405,user418@gmail.com,,48,2025-03-02,-2272,Regular
419,,+79390664077,29,2024-06-15,13731,Regular
420,user420@gmail.com,+79757464992,37,2025-03-01,8044,Premium
421,user421@yandex.ru,,31,2023-03-15,18748,Premium
422,user422@gmail.com,+79643334753,44,2024-01-05,2253,Regular
423,user423_invalid,+79019247186,40,2023-03-18,43298,VIP
424,user424@,+79714115009,44,2025-01-08,46934,Regular
425,user425@yandex.ru,,150,2023-04-01,15470,Premium
426,user426@gmail.com,+79572132274,52,2024-09-13,18028,Regular
427,user427@yandex.ru,+79511842988,30,2025-12-07,18542,Premium
428,user428@yandex.ru,+79101204825,43,2025-06-27,13331,Regular
429,,+79286448054,43,2024-04-07,-3446,Regular
430,user430@yandex.ru,+79635377216,25,2023-04-10,33030,Regular
431,user431@gmail.com,+79374962827,54,2025-12-09,25868,VIP
432,user432@gmail.com,+79775853535,63,2024-09-29,40150,VIP
433,user433@gmail.com,+79266445877,50,2024-10-13,-4543,Regular
434,user434@yandex.ru,+79494549070,42,2024-01-03,15540,Regular
435,user435@yandex.ru,+79989957638,35,2024-10-17,390,Regular
436,user436_invalid,+79544705024,51,2026-01-22,8921,Regular
437,user437@gmail.com,+79410087164,53,2023-12-17,48785,VIP
